Accession Number	Subject	Title	Author	Scribe	Date of the work	Date of the Ms.	Place of the work	Place of the Ms.	Size	Extent	Language	Script	Remarks	Observations
SDPB0406	Vedic Ritual	रुद्रन्यास		शिवशङ्कर					7.5"x4"	9	Sanskrit	Devanagari		
SDPB0407	Vedic Ritual	लक्ष्मीसूक्त							6.8"x4.6"	3	Sanskrit	Devanagari		
SDPB0408	Purana Ritual	सूर्यव्रत		शङ्घजीक		V.S. 1639			9"x3.8"	9	Sanskrit	Devanagari		
SDPB0409	Vedic Literature	विष्णुसूक्त							7.1"x4.1"	5	Sanskrit	Devanagari		
SDPB0410	Purana Ritual	अब्दपूजनविधि		शिवदेव		V.S. 1866			6.5"x4.1"	4	Sanskrit	Devanagari		
SDPB0411	Vedic Ritual	मन्युसूक्तप्रयोग		शिवदेव		V.S. 1854			6.3"x4.3"	6	Sanskrit	Devanagari		
SDPB0412	Dharmashastra	वैतरणीदानविधि		चीनाक		V.S. 1625			5.6"x3.8"	9	Sanskrit	Devanagari		
SDPB0413	Purana Ritual	जलधेनुपूजा							4.9"x3"	9	Sanskrit	Devanagari	Folios  7-9 are not numbered.	
SDPB0414	Stotra	तृचकल्प		शिवशङ्कर		V.S. 1768			8.7"x3.7"	7	Sanskrit	Devanagari		
SDPB0415	Stotra	परशिवदिव्यसहस्रनामस्तोत्र				V.S. 1782			7.4"x4.2"	14	Sanskrit	Devanagari		
SDPB0416	Purana Ritual	त्रिपिण्डीनिर्णय							6.7"x4"	3	Sanskrit	Devanagari		
SDPB0417	Dharmashastra	एकाब्दप्रायश्चित्तविधि		कालाक		V.S. 1620			6.9"x4"	5	Sanskrit	Devanagari		
SDPB0418	Dharmashastra	क्रियापद्धति							6.9"x3.9"	10	Sanskrit	Devanagari		
SDPB0419	Tantra	ज्वरतर्पण							6.7"x4"	1	Sanskrit	Devanagari		
SDPB0420	Stotra	गोपाल आर्ति							18"x4"	1	Sanskrit	Devanagari	Folio folded.	
SDPB0421	Stotra	पुरुषोत्तमसहस्रनाम				V.S. 1782			6.7"x4.1"	44	Sanskrit	Devanagari		
SDPB0422	Dharmashastra	एकवस्त्रस्नानविधि	शुक्राचार्य	नारायणजी		V.S. 1666			6.6"3.6"	5	Sanskrit	Devanagari		Name corrected from एकस्नानवस्त्रविधि to एकवस्त्रस्नानविधि based on another work by the same name.
SDPB0423	Vedic Literature	रात्रिसूक्त		शिवशङ्कर दीक्षित					6"x4.4"	3	Sanskrit	Devanagari		
SDPB0424	Jyotisha	सदाशिवपूजा							7"x4"	17	Sanskrit	Devanagari		
SDPB0425	Kavya	गङ्गालहरी	जगन्नाथ	जेशङ्कर जमनाराम		V.S. 1875		वाराणसी	6.9"x3.9"	14	Sanskrit	Devanagari		
SDPB0426	Stotra	सूर्यन्यास							6.6"x3.7"	6	Sanskrit	Devanagari		Check category. Seems a Purana Ritual.
SDPB0427	Stotra	विष्णुसहस्रनाम		करुणाशङ्कर		V.S. 1822			6.3"x4"	26	Sanskrit	Devanagari		
SDPB0428	Vedic Literature	ब्रह्मसूक्त		गौरीशङ्कर		V.S. 1975			9.5"x4.7"	1	Sanskrit	Devanagari		
SDPB0429	Jyotisha	रविवासरे सूर्यपूजाविधि							6"x3.6"	5	Sanskrit	Devanagari		
SDPB0430	Stotra	a. सूर्यस्तोत्र, b. अङ्गपूजा							6.1"x3.6"	9	Sanskrit	Devanagari		
SDPB0431	Dharmashastra	प्रायश्चित्तसाधारणप्रयोग							6.3"x4.3"	11	Sanskrit	Devanagari		
SDPB0432	Stotra	दशपापहरस्तोत्र							5.2"x4.3"	7	Sanskrit	Devanagari		
SDPB0433	Dharmashastra	वैतरणीपूजा							6.3"x4.3"	2	Sanskrit	Devanagari		
SDPB0434	Dharmashastra	दूर्वाष्टमीपूजा							8"x4.4"	6	Sanskrit	Devanagari		
SDPB0435	Stotra	सूर्यावर्णपूजा							6.1"x3.6"	2	Sanskrit	Devanagari		
SDPB0436	Dharmashastra	श्राद्धप्रयोग		रमाशङ्कर		V.S. 1872			8"x4.5"	43	Sanskrit	Devanagari		
SDPB0437	Vedic Literature	मधुवाताः मन्त्राः							4.9"x3"	5	Sanskrit	Devanagari		
SDPB0438	Stotra	शुद्धमातृकान्यास							5.8"x3.3"	23	Sanskrit	Devanagari	Incomplete.	
SDPB0439	Stotra	रुद्रजल्पसङ्कल्प		नारायण					5"x2.9"	30	Sanskrit	Devanagari		
SDPB0440	Stotra	सन्ध्यामन्त्राः							6.3"x2.1"	2	Sanskrit	Devanagari		
SDPB0441	Purana	रुद्रजप		पण्ड्या मीढाकरणजी		V.S. 1776			6"x4"	45	Sanskrit	Devanagari		
SDPB0442	Purana	शिवसङ्कल्पहृदय, आत्मरक्षा							6.3"x3.6"	2	Sanskrit	Devanagari		Check whether they are separate works or one only.
SDPB0443	Vedic Literature	आपस्तम्बीय पवमानानुवाक							6.6"x4.1"	2	Sanskrit	Devanagari		
