0076	1177B	सिद्धान्तकौमुदीटीकाया:	भट्टोजी दीक्षित	--	Paper	DN	9.6"x4.7"	8"x3.5"	10	34	2	--	Fair	--	Foll. moth eaten, text slightly damaged. Discussion on द्रोणोव्रीहि:	Grammar
0077	515	स्फोटचन्द्रिका	कृष्ण भट्ट मौनि	--	Paper	DN	11"x4.8"	8.5"x3.7"	13	36	10	--	Fair	--	All foll. moth-eaten, text slightly damaged. Ends abruptly.	Grammar
0078	1503	स्फोटचन्द्रिका	कृष्ण भट्ट मौनि	--	Paper	DN	10.9"x5.2"	8.4"x3.7"	13	34	14	s/o राघव	Fair	shaka 1720	Foll. 1-10 missing. Begins abruptly.	Grammar
0079	541	स्फोटवाद	नागेश उपाध्याय	--	Paper	DN	10.2"x4.8"	8.4"x3.3"	10	38	22	--	Fair	--	Almost all foll. moth eaten; text slightly damaged on 1-6.	Grammar
0080	1177A	स्फोटवाद (शब्दकौस्तुभ)	भट्टोजी दीक्षित	--	Paper	DN	9.6"x4.7"	7.8"x3.2"	11	34	4	--	Fair	--	All the foll. moth-eaten and text damaged at places.	Grammar
0081	2	सुबोधिका-१ (सारस्वतटीका)	--	चन्द्रकीर्ति सूरी	Paper	DN	10.2"x4.4"	8.2"x3.4"	17	60	68	हर्षकीर्ति	Fair	--	Some foll. have damaged text.	Grammar
0082	421	सूत्राणि (पाणिनीय) सटीक	पाणिनि	--	Paper	DN	9.2"x4.7"	7.4"x2.9"	10	30	53	--	Good	--	Foll. 1-4, 8-25 missing, Begins abruptly, runs up to समासप्रक्रिया. Commentary anonymous.	Grammar
0083	453	सूत्रपाठ (कृत्प्रकरण) वृत्तिसहित	सर्ववर्मन्	दुर्गसिंह	Paper	DN	10.2"x4"	7"x2.5"	9	32	90	आनन्दक व्यास	Good	V.S. 1521	Begins abruptly. Foll. 1-14, 47-54, 57-60, 63, 73-79 missing. सूत्रपाठ belongs to the कातन्त्र school. Patron: पण्डित आशाधर.	Grammar
0084	1490	सूत्रपाठ (पाणिनीय)	पाणिनि	--	Paper	DN	11.8"x4.2"	9.6"x2.3"	9	45	19	--	Good	--	Ends abrupltly.	Grammar
0085	242C	तर्कचन्द्रिका	कृष्ण भट्ट मौनि	--	Paper	DN	10"x6.3"	7.7"x3.8"	14	36	87	घनश्याम जडिय	Good	--	तर्कचन्द्रिका, a com. On some सूत्रs of पाणिनि. The ms. ends with पञ्चसंधिप्रकरण.	Grammar
0086	659	उणादिसूत्र	--	--	Paper	DN	8.4"x4.1"	6.7"x2.6" "	9	22	11	--	Fair	--	Text damaged on foll. 1-3. Marginal notes in red & black ink.	Grammar
0087	1069	(a) वादार्थ, (b) लकारार्थवादपरिच्छेद	b. न्यायवाचस्पति	--	Paper	DN	10.8"x4.1"	8.8"x3.1"	16	52	8	--	Good	--	(a) foll. 1-3, (b) foll. 4-8.	Grammar
0088	449	वैयाकरणभूषणकारिका व्याख्यासहित	भट्टोजी दीक्षित	आशाधर भट्ट	Paper	DN	9.5"x4.5"	7.8"x3"	12	40	46	--	Good	V.S. 1855	Edges torn on 1,2,45,46.	Grammar
0089	1569	वैयाकरणभूषण	कोण्ड भट्ट	--	Paper	DN	9.4"x4.6"	7.7"x3.5"	15	37	18	--	Poor	--	Foll 1-5 missing. All folios moth eaten, text damaged.	Grammar
0090	1212	विभक्तिशब्द	--	--	Paper	DN	12"x5.4"	9"x3.3"	12	33	15	--	Good	--	--	Grammar
0091	451	छन्दोमञ्जरी	--	--	Paper	DN	9"x4.2"	7"x2.8"	9	27	4	--	Good	--	Folios moth-eaten; but text not damaged.	Prosody
0092	47	श्रुतबोध सटीक	कालिदास	--	Paper	DN	10"x5.7"	8.5"x4.5"	16	32	3	--	Fair	--	Text damaged at places. Com. Up to verse 28. Marginal notes on 1a,2b.	Prosody
0093	548	श्रुतबोध	कालिदास	--	Paper	DN	8.4"x4.1"	6.8"x2.5"	10	35	3	--	Good	--	--	Prosody
0094	1223	वृत्तरत्नाकर	केदार भट्ट		Paper	DN	8.4"x4"	6.4"x3"	12	34	9	--	Good	--	Edges torn.	Prosody
0095	1566	वृत्तरत्नाकर सटीक	केदार भट्ट	हृदयराम	Paper	DN	See Remarks	7.2"x3.5"	15	32	32	व्यास किका	Poor	--	Foll. 1, 3 missing; No.24 is repeated; 10-11, 31-32  moth eaten & text damaged. Folios have 3 sizes - 8.1 x4.4 F.2; 7.2x4 F.4-8,10-12,22-25; 8.5x4.6 -F.9,13-21,24*,26-32 (*second).	Prosody
0096	551	अलङ्कारचन्द्रिका	--	वैद्यनाथ	Paper	DN	8"x4"	6.3"x2.8" "	10	32	145	बालकृष्ण जडिय 	Fair	--	Foll. 1-3 missing, 4-6 moth eaten. अलङ्कारचन्द्रिका is a com. On कुवलयानन्द.	Rhetorics
0097	875	अलङ्कारतिलक	भानुकर मिश्र	--	Paper	DN	11.9"x5.5"	9.4"x3.4"	13	44	28	बालकृष्ण	Good	shaka 1659	--	Rhetorics
